episode,exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,seed,phase
41,2.225,22.842339956201613,81.51100370387508,0.43877551020408173,115.33568497413864,283.45523035142764,0.0,0.000774907327525324,8.356263732063481e-05,0.0006913446902046893,7.0,999,Proxy_M2
42,2.293,-1.5090089389123031,-0.7317414452992612,0.7195357142857143,154.1339002525599,156.23908812972664,0.0,0.0005241986460085002,8.153690001006333e-05,0.00044266174599843686,4.0,999,Proxy_M2
43,2.249,-31.66953036142513,-18.81763362661032,0.6660714285714286,183.5003534931537,192.8669869693331,0.0,0.0007882021584908469,8.023572772528804e-05,0.0007079664307655588,4.0,999,Proxy_M2
44,2.259,-2.8941885783569883,-1.7134899542201927,0.6857142857142858,122.63751998378335,122.94994212642439,0.0,0.0004469648499510693,3.745823566754565e-05,0.00040950661428352364,3.0,999,Proxy_M2
45,2.279,-8.8721460592933,5.323755459524621,0.6164285714285714,234.4302355977893,319.529170461416,0.0,0.000963171707702822,0.00014522574800239588,0.0008179459597004259,7.0,999,Proxy_M2
46,2.27,-39.91146158473566,-16.416695236892792,0.6542857142857142,170.0181312778299,220.18513167115663,0.0,0.0006800218822406787,6.673784507283572e-05,0.000613284037167843,5.0,999,Proxy_M2
47,2.293,-30.271154133602977,6.783435186992562,0.4962857142857143,308.17171765166773,440.46157714399317,0.0,0.001366491854857696,0.00012453347456917348,0.0012419583802885225,8.0,999,Proxy_M2
48,2.295,-37.2270368123427,9.70970858042273,0.4761904761904762,190.88342827125115,335.5363180393618,0.0,0.0010910284989458004,0.00010579708130828593,0.0009852314176375145,6.0,999,Proxy_M2
49,2.276,-24.97178023867309,10.519766317658627,0.5553877551020409,302.91022598957437,413.3548089565849,0.0,0.0012639117872765343,0.00010855263146268549,0.001155359155813849,7.0,999,Proxy_M2
50,2.244,105.27519837021828,187.50380629999998,0.2732142857142857,21.23,333.77,0.0,0.0007309824779648667,0.00010997929238008261,0.0006210031855847842,8.0,999,Proxy_M2
51,2.271,13.036818537395447,38.94247587818393,0.44999999999999996,34.50000000000001,141.62966565584452,0.0,0.0003502356553904118,5.666701253989877e-05,0.0002935686428505131,4.0,999,Proxy_M2
52,2.337,-39.558967761695385,1.421203078208844,0.4562448979591837,233.62322745140665,348.22420649838807,0.0,0.0010890615948837784,7.513976744594127e-05,0.001013921827437837,7.0,999,Proxy_M2
53,2.228,-44.331896217418034,2.9618651431457845,0.4473673469387755,242.40272921490123,408.98443124296836,0.0,0.0011321899199285977,0.0001245582486402546,0.001007631671288343,7.0,999,Proxy_M2
54,2.221,-3.630462395492941,44.52086281213134,0.42753061224489797,246.21139631561687,434.74257654292853,0.0,0.0012994100244443727,0.00010486877145609012,0.0011945412529882826,7.0,999,Proxy_M2
55,2.307,-46.5019689417677,0.6429768991708293,0.4120714285714285,128.75628379479497,290.01640872758963,0.0,0.0008244656223549589,0.00010246661076527853,0.0007219990115896804,6.0,999,Proxy_M2
56,2.239,-15.261136614717543,-14.709096074913731,0.8806071428571429,178.86735108205443,125.1150817328845,0.0,0.0006157727884581474,6.65538330073525e-05,0.0005492189554507948,4.0,999,Proxy_M2
57,2.256,-19.394699349999428,22.115952483133853,0.4446326530612245,249.92058957159065,404.89272008065154,0.0,0.0012251770192897677,9.75122375059101e-05,0.0011276647817838577,7.0,999,Proxy_M2
58,2.284,-5.773487935774028,34.32407122797508,0.36542857142857144,120.39917147811468,253.3880223331311,0.0,0.0006838571361493849,8.589882595322446e-05,0.0005979583101961605,5.0,999,Proxy_M2
59,2.225,-3.8638995311921462,48.41564509969068,0.35833333333333334,119.63185708323093,318.24129328351626,0.0,0.0009102893034838724,9.376416941475985e-05,0.0008165251340691125,6.0,999,Proxy_M2
60,2.208,-66.38688414444914,-5.059556559419024,0.29287755102040813,112.30574714146765,360.55938184542487,0.0,0.0009501888797574331,0.00010161692895548671,0.0008485719508019463,7.0,7,Proxy_M2
61,2.236,-0.9261394417844713,10.832170591079858,0.6857142857142858,53.2813419674389,92.33615868643511,0.0,0.00027593813467458164,4.971339229265542e-05,0.00022622474238192622,3.0,7,Proxy_M2
62,2.222,-20.240385678131133,3.241626333595244,0.5796428571428572,78.41029323371403,157.38,0.0,0.00046599002510714293,6.617013730480832e-05,0.00039981988780233457,4.0,7,Proxy_M2
63,2.27,5.472747090738267,52.409493975222965,0.4761904761904763,139.60878433452126,271.65835793297254,0.0,0.0007724379456763497,9.313804255735994e-05,0.0006792999031189896,6.0,7,Proxy_M2
64,2.3,-9.025289192795753,2.738987876106486,0.6776666666666666,42.33999999999999,71.80556761883463,0.0,0.0002469641377224958,5.492677338220704e-05,0.00019203736434028878,3.0,7,Proxy_M2
65,2.288,-29.267738454043865,23.708557096804565,0.30421428571428566,139.60600631018946,350.5899071054828,0.0,0.000984850462960649,8.79533533294547e-05,0.0008968971096311941,6.0,7,Proxy_M2
66,2.297,-17.42522406252101,41.61151914684597,0.3897777777777778,291.30431621545216,540.0477626864346,0.0,0.001521103957478513,0.00013053387612140893,0.001390570081357104,9.0,7,Proxy_M2
