exec_time_s,reward_total,total_profit_cost,user_satisfaction,energy_charged_kwh,energy_discharged_kwh,transformer_overload_kwh,battery_degradation,battery_deg_calendar,battery_deg_cyclic,total_ev_served,horizon
93.044,-38.89030773720572,-38.858527786371965,1.0,407.2930795704799,298.5533482853311,0.0,0.001258272463861511,0.00012027048025557265,0.0011380019836059383,7.0,5
88.622,-3.7237600240815265,-3.7010600592002856,1.0,437.58072441962616,368.8752761801376,0.0,0.001193195771864549,0.00010957913877035637,0.0010836166330941927,5.0,5
85.659,-7.077603602630261,-7.059443630725269,1.0,198.47013803433134,147.24526952992292,0.0,0.0005402360576319293,4.8535871202454845e-05,0.0004917001864294745,4.0,5
94.449,-7.53673946023129,-7.518579488326296,1.0,285.6298023643852,211.25732247634957,0.0,0.001042930940370447,6.934155310379123e-05,0.0009735893872666559,4.0,5
93.826,-7.013576145040904,-6.995416173135912,1.0,318.0398238465172,262.4453820947879,0.0,0.0011147133122172965,8.39855811841935e-05,0.0010307277310331031,4.0,5
92.596,0.8069679451463222,0.8342079030038243,1.0,299.7245105625905,228.7124039715832,0.0,0.0010105033102729023,9.443829244763884e-05,0.000916065017825263,6.0,5
67.151,0.8946407351778892,0.9264206860116355,1.0,404.1091959528733,334.1996744382346,0.0,0.0014602384147606184,0.0001124082346049152,0.0013478301801557032,7.0,5
71.711,8.04870578493376,8.071405749815007,1.0,413.64154835203107,350.1007322361044,0.0,0.0013484696552673488,0.00010946265794036642,0.0012390069973269822,5.0,5
72.61,-3.3826950066208035,-3.3599950417395554,1.0,373.6565972796188,304.5782800912562,0.0,0.0014306157055748083,0.00010548424971775633,0.001325131455857052,5.0,5
75.181,-2.9472716454122962,-2.9336516664835504,1.0,152.27723794906262,117.39552160447471,0.0,0.00040290394389416154,5.087710127385617e-05,0.00035202684262030537,3.0,5
72.754,-11.248331514199768,-11.221091556342273,1.0,435.44150056197213,360.28668747650715,0.0,0.001600699076482103,0.0001292760134375555,0.0014714230630445474,6.0,5
71.029,1.2079767452361532,1.230676710117395,1.0,314.399789475106,256.2506261712823,0.0,0.0011276893804643873,7.104165556556658e-05,0.0010566477248988204,5.0,5
68.962,-8.990138439046067,-8.967438474164833,1.0,422.9597035465778,311.4113729475864,0.0,0.0014005231544793838,9.52990188669e-05,0.001305224135612484,5.0,5
67.551,-15.49893417079075,-15.48077419888575,1.0,272.68809169474457,210.21249400359818,0.0,0.0009579118100078668,7.846742329722657e-05,0.0008794443867106401,4.0,5
76.007,-3.790479789302629,-3.7768598103738844,1.0,155.4948461163843,98.9999226643247,0.0,0.00043375568377525866,4.349341023717058e-05,0.00039026227353808807,3.0,5
69.692,-7.89370402565193,-7.884624039699434,1.0,51.25000023497786,27.499978517867973,0.0,0.00010895379507622416,2.5674232306378058e-05,8.32795627698461e-05,2.0,5
75.298,10.996120133983778,11.036980070770014,1.0,568.5023933806888,424.0085318460241,0.0,0.002091384577969883,0.00015940111773118877,0.0019319834602386943,9.0,5
71.204,-4.5597012000981065,-4.546081221169359,1.0,235.04320482172201,186.813069562414,0.0,0.0005362244853246072,7.49864397389311e-05,0.0004612380455856761,3.0,5
76.956,-3.2281446003350895,-3.1963646495013496,1.0,381.3032815298578,265.25440823809663,0.0,0.0011957095099260598,0.00013529151235491414,0.0010604179975711458,7.0,5
63.683,-6.825707116752317,-6.81208713782357,1.0,175.54456827129297,128.16638347439024,0.0,0.0006099812125187844,5.994108929361172e-05,0.0005500401232251726,3.0,5
68.954,-3.2035051180561736,-3.171725167222436,1.0,348.31000145324197,222.60316978875213,0.0,0.0011245870829410074,0.00011241843433007029,0.001012168648610937,7.0,5
74.866,-0.7840533515077667,-0.7658933796027662,1.0,271.15490278032166,201.21087353619163,0.0,0.0008776532170977928,7.028691993957661e-05,0.0008073662971582161,4.0,5
71.88,-7.553142470081152,-7.539522491152402,1.0,241.1219205389287,192.4998496250758,0.0,0.0008062236880377787,6.685765931155568e-05,0.000739366028726223,3.0,5
76.977,-17.35227264596296,-17.32049269512921,1.0,523.37425643994,425.73642573165483,0.0,0.0017019054250393911,0.00014585958734090115,0.00155604583769849,7.0,5
78.039,-18.189154955602852,-18.161914997745356,1.0,352.0531797454242,242.37432191105393,0.0,0.0011570714852913164,9.193242723760925e-05,0.001065139058053707,6.0,5
74.363,-0.3168170459892369,-0.29865707408424275,1.0,301.7298453286493,241.4630691965823,0.0,0.0008910171758011076,9.251459256801313e-05,0.0007985025832330945,4.0,5
77.481,-5.91918190400559,-5.882861960195605,1.0,427.9761346528362,326.77452504665786,0.0,0.0014502047593446296,0.00012241661163070553,0.0013277881477139239,8.0,5
81.22,-5.191960529210367,-5.164720571352877,1.0,430.49978278479654,334.5868778603682,0.0,0.0015992504646982872,0.00012188068217051388,0.0014773697825277731,6.0,10
64.405,-6.671567921141539,-6.657947942212796,1.0,189.90425671634932,145.51765277242143,0.0,0.000605845811858239,5.248255042744697e-05,0.000553363261430792,3.0,10
85.16,-7.095134551558094,-7.067894593700606,1.0,353.0814576124095,276.1145053656182,0.0,0.001279257269731926,0.00010462028975589484,0.0011746369799760313,6.0,10
91.12,-14.389149281155083,-14.370989309250087,1.0,269.8742775342495,203.499841032223,0.0,0.0007799343657975221,8.597010739012653e-05,0.0006939642584073956,4.0,10
90.301,-16.329701360460263,-16.297921409626536,1.0,485.17970354657774,377.11462801533634,0.0,0.0018221644017954834,0.00014068992956016332,0.00168147447223532,7.0,10
79.33,-5.263079282871066,-5.2358393250135755,1.0,367.74389013830375,301.0414046293876,0.0,0.001178293665110132,0.00012249029270321925,0.0010558033724069127,6.0,10
85.119,-7.882471350015028,-7.846151406205047,1.0,540.7096248430735,436.5668701493506,0.0,0.0017237315297818439,0.00013768720809980345,0.0015860443216820406,8.0,10
90.844,-7.005885507792338,-6.983185542911095,1.0,266.1798310715411,182.08232611990437,0.0,0.0008425322716951137,0.00010209669781098523,0.0007404355738841286,5.0,10
89.084,-14.448799070573033,-14.421559112715542,1.0,296.60193228600144,209.90421667266384,0.0,0.0009904548426527687,9.57348319178456e-05,0.0008947200107349234,6.0,10
91.015,-5.0952424361652575,-5.077082464260263,1.0,185.5907872739075,99.42880615709169,0.0,0.00045142751657620977,5.3264209650858716e-05,0.00039816330692535106,4.0,10
83.293,-14.237492914343484,-14.210252956485991,1.0,317.468921653227,243.61607763242267,0.0,0.00073604267701754,0.0001433167731073617,0.0005927259039101784,6.0,10
88.148,-17.66543407510633,-17.63819411724884,1.0,323.6678470801944,256.8402439789917,0.0,0.0010175898835053593,0.00010415276345412329,0.0009134371200512361,6.0,10
93.009,-19.68545788522838,-19.66275792034715,1.0,312.1537488596005,236.8524330852727,0.0,0.0010172797256692684,7.636416750974704e-05,0.0009409155581595216,5.0,10
84.454,-4.94020338220405,-4.917503417322813,1.0,261.11988852789125,204.053432183135,0.0,0.000749410634388486,8.353390648700026e-05,0.0006658767279014856,5.0,10
88.366,-2.4275444987790338,-2.4139245198502866,1.0,188.42111809801133,149.01567487057463,0.0,0.0006748587182422255,5.9054603062923235e-05,0.0006158041151793024,3.0,10
87.89,-3.111127919977741,-3.083887962120254,1.0,495.51544501443465,380.31152268828873,0.0,0.0017747367788670616,0.00010185011897443638,0.0016728866598926249,6.0,10
86.329,-6.599872080660414,-6.572632122802921,1.0,389.9797465108419,297.27806006032785,0.0,0.0014463502567012244,0.00010825785831348786,0.0013380923983877368,6.0,10
92.302,1.2097554707597162,1.2324554356409596,1.0,268.69715655862115,198.60054826152722,0.0,0.0008963468000215938,8.190548540007344e-05,0.0008144413146215204,5.0,10
67.328,-23.56488802814818,-23.52856808433819,1.0,430.20367278362056,288.5335036455774,0.0,0.0011577348573245173,0.00013139310363447965,0.0010263417536900375,8.0,10
89.201,-6.661684943535862,-6.643524971630869,1.0,214.1898539215021,153.99987970006066,0.0,0.000670741898874265,6.640575998695534e-05,0.0006043361388873098,4.0,10
76.083,-4.170262431658213,-4.133942487848224,1.0,478.2819571533216,364.70067346732856,0.0,0.0014953711389121523,0.00016833749600031847,0.0013270336429118338,8.0,10
76.465,-6.224679061866974,-6.2065190899619855,1.0,268.96738863903187,221.11410492487545,0.0,0.0009229048261154334,7.430844865319452e-05,0.0008485963774622391,4.0,10
80.163,-5.452301281585976,-5.434141309680985,1.0,269.17983673579647,189.75046145517328,0.0,0.000957165096461772,6.563282336598273e-05,0.0008915322730957893,4.0,10
81.839,-22.181013273602943,-22.15377331574546,1.0,448.2362928228545,356.6634588895765,0.0,0.0012885486938879638,0.00013195275797850132,0.0011565959359094626,6.0,10
78.363,-5.132910217127663,-5.119290238198919,1.0,95.36629249979069,44.63719404889658,0.0,0.0002478670959564944,4.577484895445057e-05,0.0002020922470020438,3.0,10
84.942,-8.138540367360074,-8.115840402478831,1.0,275.1352630759277,211.74684160378794,0.0,0.000783334971275327,7.264205589298444e-05,0.0007106929153823424,5.0,10
90.673,-9.519169283110184,-9.487389332276447,1.0,492.1479192569259,418.90388713158285,0.0,0.0013259264066609298,0.00016123312307555828,0.0011646932835853714,7.0,10
84.848,1.430982927603537,1.4582228854610282,1.0,385.55666374337426,312.6780702005842,0.0,0.0013036542977277914,0.00012271764410243724,0.0011809366536253542,6.0,10
69.748,-14.909484798282866,-14.886784833401624,1.0,272.9994059216689,197.33429441353624,0.0,0.0008008391175327322,8.909732148518745e-05,0.0007117417960475448,5.0,10
71.018,-12.00389999016304,-11.972120039329301,1.0,470.146380571793,384.2777804735569,0.0,0.00149519239611468,0.00010409946644354454,0.0013910929296711355,7.0,10
80.814,3.150222250506417,3.177462208363906,1.0,507.87967436946604,442.71656503904654,0.0,0.0014982152558130099,0.0001279074042118239,0.0013703078516011861,6.0,10
83.659,-11.882845307393637,-11.873765321441144,1.0,126.32990977504544,96.91320327699157,0.0,0.0004466070724360251,2.7228233700694007e-05,0.00041937883873533106,2.0,10
81.901,-12.807640333752198,-12.775860382918463,1.0,419.02975080726833,304.21396745259545,0.0,0.001473521100136348,0.00013815855934363498,0.001335362540792713,7.0,10
81.554,-33.33396530205496,-33.30218535122121,1.0,402.5988441312945,281.3745635349208,0.0,0.0012383276552574488,0.00011229233095831749,0.0011260353242991314,7.0,10
71.914,-4.890263828971406,-4.872103857066412,1.0,229.9298711072077,151.11408906496047,0.0,0.0007336141580948494,7.149727642083823e-05,0.0006621168816740112,4.0,10
80.132,-6.3048652340387195,-6.277625276181227,1.0,311.34044749111905,231.80753719548943,0.0,0.0009503712305182821,9.623950750088105e-05,0.000854131723017401,6.0,10
84.775,2.8528136128339225,2.870973584738917,1.0,253.4764462305003,216.2380909170334,0.0,0.0006591181841076396,7.167711799799767e-05,0.000587441066109642,4.0,10
